,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
36,"Giles, VA",276158,21630,38914,29312,355558,-549,-1169,36286,634609,25129,37834,634060,115686,98648,179854,16759,1656,23960,53570,6590,4934,198628,2017
37,"Gloucester, VA",514625,39241,69460,51616,1121272,1102,334,65049,1795798,62093,48133,1796900,671696,336220,339408,37332,3956,62427,95268,14075,10119,356930,2017
38,"Goochland, VA",2050560,125595,167281,205160,1276959,-4092,-6115,228175,2222628,102046,96909,2218536,-545426,740151,201426,22893,4490,95931,269861,21602,17112,1684768,2017
39,"Grayson, VA",140823,14772,24774,14668,230496,-9730,-11781,22106,482730,23596,30129,473000,111779,73679,168825,15699,2036,11815,32108,5168,3132,96900,2017
40,"Greene, VA",249286,18484,26108,21414,541199,579,-589,29191,840873,66028,42914,841452,321104,151230,149023,19608,2415,65439,36815,6450,4035,147032,2017
41,"Greensville + Emporia, VA*",413213,27213,62739,47038,279747,2763,1576,50732,517308,5135,30519,520071,-82734,67354,172970,17041,1250,6711,86258,9623,8373,320244,2017
42,"Halifax, VA",671776,49998,96850,73430,607636,-1567,-5852,86713,1199798,54239,34639,1198231,22573,198803,391792,34592,3366,48387,133565,16366,13000,489824,2017
43,"Hampton (Independent City), VA",4479176,258235,741831,540854,3242673,0,0,528662,5511596,117003,40825,5511596,-707841,1003349,1265574,135007,12279,117003,1012258,77128,64849,3349915,2017
44,"Hanover, VA",3419406,216090,353428,354984,4233515,8658,-141,393582,6186168,400672,58592,6194826,1207691,1159571,801740,105729,15314,400531,530920,70445,55131,2487955,2017
45,"Henrico, VA",17670838,1046430,1519107,1628524,14677821,1732,372,1860692,20860034,3764609,63601,20861766,-1132325,3787498,2396447,328008,45561,3764981,2333369,252963,207402,11572488,2017
46,"Henry + Martinsville, VA*",1260140,95952,168445,135644,1155579,7502,6575,163774,2349755,104322,36719,2357257,59213,385832,815846,64197,5192,110897,236267,31552,26360,912976,2017
47,"Highland, VA",32117,2513,4430,2614,32913,5456,4650,3820,88783,3448,42546,94239,4616,35671,25655,2215,663,8098,5737,1256,593,18282,2017
48,"Isle of Wight, VA",732323,51476,84413,74278,1308211,3736,1681,88615,1949229,61343,53130,1952965,664503,309204,335550,36758,4229,63024,121552,15933,11704,547747,2017
49,"James City + Williamsburg, VA*",2593123,172285,320535,274112,3163844,-4259,-5017,309341,5765525,248196,63717,5761266,880062,1734839,862583,90419,11948,243179,457591,57938,45990,1892353,2017
50,"King George, VA",1365232,74830,241319,157968,934355,-449,-1000,153814,1377998,70746,52221,1377549,-277063,275557,167637,26379,2621,69746,320303,15410,12789,975183,2017
51,"King William, VA",265126,19165,30477,27354,505510,-47,-807,32842,763436,31399,45695,763389,273226,124072,133807,16706,1883,30592,44154,6160,4277,190380,2017
52,"King and Queen, VA",73829,6451,9154,7074,174500,1306,85,9988,289261,13041,41450,290567,110659,47029,69038,7010,817,13126,12691,1981,1164,48012,2017
53,"Lancaster, VA",266234,20876,29943,26714,219660,296,-181,34233,617068,37096,57568,617364,-12341,248593,149111,10724,1986,36915,43300,6904,4918,186019,2017
54,"Lee, VA",244591,22567,43663,25258,303476,-4227,-5310,35196,674179,27007,27992,669952,94081,83482,282994,23934,2361,21697,56292,7132,4771,166602,2017
55,"Loudoun, VA",15195627,894124,1487783,1570984,24031218,8308,-6523,1679616,30265376,1419374,76219,30273684,10515207,4717275,1525191,397192,60013,1412851,2273275,237388,177375,11509501,2017
56,"Louisa, VA",720919,49646,94847,74150,912020,-761,-2525,86721,1507220,78194,42076,1506459,277822,280609,313830,35803,4366,75669,131922,14728,10362,513328,2017
57,"Lunenburg, VA",140816,11845,21632,14620,188152,579,-1842,19155,385601,11982,31262,386180,66491,74505,123523,12353,1214,10140,28942,4104,2890,101734,2017
58,"Madison, VA",212708,15823,22254,19068,366768,-1556,-4998,25357,620647,58767,46837,619091,179417,140720,111603,13218,2325,53769,31788,5760,3435,127151,2017
59,"Mathews, VA",93893,9138,10476,7550,232836,860,802,12913,468778,28163,53957,469638,151856,132175,104627,8704,1374,28965,14251,3003,1629,50677,2017
60,"Mecklenburg, VA",586697,44958,79283,64690,517739,2500,-3608,77303,1081456,38643,35302,1083956,8345,206675,359542,30705,3032,35035,111628,15374,12342,440034,2017
61,"Middlesex, VA",211174,16378,28064,19116,240137,1179,-194,25936,522702,37379,49358,523881,54899,152067,131677,10614,1720,37185,37622,5478,3758,136367,2017
62,"Montgomery + Radford, VA*",3231357,190231,523667,339294,2484017,4234,570,359878,4078167,213510,35284,4082401,-387462,912955,685429,115700,10882,214080,693314,64532,53650,2323963,2017
63,"Nelson, VA",238076,19252,28826,21738,363625,3563,156,30121,719164,47293,48833,722727,155670,192616,166486,14800,2494,47449,39695,6655,4161,150932,2017
64,"New Kent, VA",279061,21135,32501,25826,1101481,-1663,-1918,34048,1501551,58221,69346,1499888,856468,222647,175760,21629,3172,56303,45414,7728,4556,177344,2017
65,"Newport News (Independent City), VA",7745425,443578,1121380,904052,4511555,0,0,895604,7219257,251913,40165,7219257,-2338266,1220312,1487390,179738,16818,251913,1573406,124759,107941,5920106,2017
66,"Norfolk (Independent City), VA",14507789,758972,2442971,1824954,5346318,0,0,1671449,9496221,200147,38775,9496221,-7490022,2207305,1942598,244908,23164,200147,3355448,215589,192425,10952194,2017
67,"Northampton, VA",258915,16728,29352,24994,315404,42414,28262,29225,555894,30150,50418,598308,85714,129616,153288,11867,1832,58412,41849,6534,4702,158654,2017
68,"Northumberland, VA",168959,15780,20538,16698,233868,2209,1168,24129,607118,28021,49660,609327,89038,213772,161687,12270,1819,29189,28887,4477,2658,110883,2017
69,"Nottoway, VA",318643,21575,59597,36508,232637,11549,8991,39829,500342,6150,33156,511891,-46177,98573,180681,15439,1404,15141,77851,7422,6018,225651,2017
70,"Orange, VA",600829,43077,73560,57716,1029917,25470,13241,71935,1698213,86822,48038,1723683,501023,365723,328043,35882,4430,100063,102418,14867,10437,398348,2017
71,"Page, VA",332082,25434,41805,33764,487707,28096,24831,42316,847034,41807,36769,875130,197941,152033,235390,23801,2684,66638,58687,8803,6119,206757,2017
72,"Patrick, VA",240257,20248,34192,25108,280323,2718,620,32802,568952,27634,32249,571670,72868,93220,198127,17727,2072,28254,46746,7394,5322,165257,2017
73,"Pittsylvania + Danville, VA*",2041758,150236,273386,226948,1885403,14561,5017,263710,3631105,116640,35598,3645666,107355,551030,1209233,102412,9735,121657,386860,51198,41463,1533241,2017
74,"Portsmouth (Independent City), VA",4069708,222431,791160,495110,2092282,0,0,469986,3629574,76832,38221,3629574,-1507440,605579,931713,94964,8400,76832,1038715,60618,52218,2954161,2017
75,"Powhatan, VA",470000,33512,56999,44104,1076257,530,-365,55564,1584770,78977,55195,1585300,661821,289617,219426,28722,4049,78612,79051,11782,7733,312337,2017
76,"Prince Edward, VA",502174,33181,73718,54186,363176,2625,1481,60274,689664,36374,30500,692289,-78724,123006,206107,22698,2057,37855,100811,12121,10064,363508,2017
77,"Prince George + Hopewell, VA*",2432544,128068,451774,303334,1276832,-1579,-2079,279735,2200936,46698,36304,2199357,-875977,392772,529753,60582,4308,44619,603441,37106,32798,1784484,2017
78,"Prince William, Manassas + Manassas Park, VA*",12492824,735712,1463248,1303200,20543447,-2421,-5634,1387312,27711185,1546119,53104,27708764,9437935,4453329,2711988,521780,68448,1540485,2114848,241305,172857,8837491,2017
79,"Pulaski, VA",746066,52975,104226,81218,711672,1417,-269,93584,1288620,52372,37660,1290037,59190,204081,374284,34255,2863,52103,144835,16656,13793,549128,2017
80,"Rappahannock, VA",152309,11373,13471,11060,233617,-2597,-4741,16903,454706,43642,61022,452109,98211,151512,66980,7409,1965,38901,19001,3766,1801,94407,2017
81,"Richmond (Independent City), VA",13815164,796343,1693533,1424880,7011758,0,0,1508783,11933735,1225326,52428,11933735,-5294623,3006185,1915792,227620,30126,1225326,2405973,197122,166996,10183865,2017
82,"Richmond, VA",168761,11503,27027,17482,166010,3474,785,20244,312942,11015,35624,316416,17493,71466,78940,8882,1011,11800,35768,4144,3133,121193,2017
83,"Roanoke (Independent City), VA",4516751,278506,546129,524192,2164808,0,0,540602,4020316,265384,40614,4020316,-1811341,814550,1040958,98989,9622,265384,808225,81197,71575,3443142,2017
84,"Roanoke + Salem, VA*",3940031,255194,488435,413046,3694620,-472,-1399,461717,5926289,404602,49687,5925817,216306,1137035,1094162,119262,13444,403203,694958,75903,62459,2841870,2017
85,"Rockbridge, Buena Vista + Lexington, VA*",771421,54178,101114,84424,709263,664,-1828,96390,1400532,88115,38517,1401196,34232,362827,329106,36379,4767,86287,143326,19424,14657,541808,2017
86,"Rockingham + Harrisonburg, VA*",4072057,241448,490325,404818,3262892,172234,148996,443857,4944744,425419,38114,5116978,-365308,956346,897740,134255,16412,574415,692734,85321,68909,2804908,2017
87,"Russell, VA",417372,34747,55803,48514,416382,2,-2201,59004,846363,23432,31284,846365,58014,112611,317372,27054,2399,21231,80060,9966,7567,316081,2017
88,"Scott, VA",243428,23147,35462,26634,338197,-2408,-3183,36464,688172,24162,31318,685764,131233,97699,249868,21897,2523,20979,48779,7573,5050,173670,2017
89,"Shenandoah, VA",821895,58514,99627,82854,1091915,16816,12571,99941,1816848,106425,42329,1833664,369961,345419,396330,43319,5657,118996,141054,20481,14824,561845,2017
90,"Smyth, VA",650801,47340,100710,69364,567045,999,-1124,82022,1075823,44407,34994,1076822,-1734,155373,354404,30772,2977,43283,135392,15945,12968,472126,2017
91,"Southampton + Franklin, VA*",421467,30537,65184,43544,551429,10007,4996,52309,1022922,28745,39731,1032929,182271,201019,280481,25998,2521,33741,86956,11105,8584,300770,2017
92,"Spotsylvania + Fredericksburg, VA*",3782103,239219,433786,396784,5320048,1392,-350,437611,7946295,388885,49179,7947687,1975556,1465187,1162452,161607,19415,388535,632178,84148,64733,2761390,2017
93,"Stafford, VA",3345379,201913,467333,357716,5604219,-3022,-3549,380771,7836469,239107,53337,7833447,2639611,1298240,930988,146868,15934,235558,646191,62993,47059,2463630,2017
94,"Suffolk (Independent City), VA",2172822,138052,277323,237980,2905176,19256,6791,257042,4498967,164413,50076,4518223,989396,816451,796596,90228,9725,171204,396313,42715,32990,1605305,2017
95,"Surry, VA",254691,15463,43745,28228,169642,49,-892,29577,275842,4858,42393,275891,-55472,38926,67323,6508,711,3966,57859,3276,2565,192866,2017
96,"Sussex, VA",203157,14056,32284,21972,177215,1338,-311,25042,331699,8966,29293,333037,-900,49331,106491,11369,868,8655,43270,4711,3843,151232,2017
97,"Tazewell, VA",813392,61392,115898,87120,744886,3550,2336,104952,1483300,72270,35947,1486850,36446,237638,504326,41362,3526,74606,159458,19444,15918,579328,2017
98,Virginia,322968435,19638663,37881106,34821992,306338411,514932,198726,37049659,466922719,26670599,55181,467437651,20419635,96852878,64246362,8471011,1077432,26869325,55292102,5229033,4151601,240807008,2017
99,"Virginia Beach (Independent City), VA",13828256,804832,1802447,1532304,15857085,-2722,-4627,1570984,25124692,1394983,55775,25121970,3599813,5828296,3436589,450417,58104,1390356,2568599,272430,214326,9869301,2017
100,"Warren, VA",735421,49905,91177,79628,1177619,-1565,-2500,89719,1752668,76859,44356,1751103,531917,270105,303379,39478,4603,74359,130991,17820,13217,530071,2017
101,"Washington + Bristol, VA*",1648905,117147,225691,177062,1381277,3098,-872,205678,2728899,145289,38393,2731997,-61950,587439,763281,71158,8414,144417,314222,39983,31569,1190266,2017
102,"Westmoreland, VA",198546,16208,26134,18638,370712,22393,16348,25527,725344,23603,42190,747737,197693,189245,187780,17723,2185,39951,35453,6103,3918,123142,2017
103,"Wise + Norton, VA*",801864,60244,126820,89536,597109,-513,-630,105012,1296573,37445,30481,1296060,-99743,171940,527011,42520,2694,36815,171588,18978,16284,593461,2017
104,"Wythe, VA",607859,43302,87231,65274,514079,4030,815,75939,967103,48115,33682,971133,-17841,148492,308562,28832,3238,48930,119868,15559,12321,439061,2017
105,"York + Poquoson, VA*",1522165,99388,201696,167418,2964489,1552,555,183097,4573197,142430,57072,4574749,1625421,1022521,587739,80158,8268,142985,285405,35254,26986,1093775,2017
0,"Accomack, VA",1048492,64186,164864,118196,809850,26915,20098,123284,1487331,59456,46445,1514246,-115358,332528,371868,32603,3924,79554,223962,19890,15966,744976,2018
1,"Albemarle + Charlottesville, VA*",8371238,492131,1084544,828344,6101827,-7375,-19402,906303,11664297,917181,74603,11656922,-1363108,4446318,1108777,156253,28194,897779,1498716,134520,106326,5974743,2018
2,"Alexandria (Independent City), VA",10595890,610440,1228993,1163500,9835738,0,0,1192190,13899351,846872,87761,13899351,432038,3180275,883338,158377,27685,846872,1810743,126029,98344,7938275,2018
3,"Alleghany + Covington, VA*",496378,37511,65000,57372,407335,-702,-1125,66197,805813,19775,38939,805111,-22846,132979,264797,20676,1476,18650,93686,9736,8260,384042,2018
4,"Amelia, VA",163803,13105,18791,14736,341554,12648,8127,20473,539668,26149,42496,552316,198224,76348,134414,12997,1803,34276,26159,4599,2796,103368,2018
5,"Amherst, VA",470945,38165,66059,49602,649675,-2286,-3225,62966,1165526,36607,36613,1163240,241696,184684,328881,31771,2947,33382,90860,11668,8721,346703,2018
6,"Appomattox, VA",169310,15710,24283,16322,349110,-3133,-4148,23871,608706,20554,38149,605573,203671,89762,166701,15874,1857,16406,32444,5401,3544,120460,2018
7,"Arlington, VA",24441065,1366746,2815553,2675786,16352972,0,0,2704639,22485727,1213255,95012,22485727,-5383454,5067199,1065556,236662,36632,1213255,4153446,237177,200545,19074364,2018
8,"Augusta, Staunton + Waynesboro, VA*",3130258,214899,395684,317810,3161889,27143,17929,373804,5304302,318968,43388,5331445,405435,998711,1170845,122879,14320,336897,554589,65922,51602,2238772,2018
9,"Bath, VA",128767,9007,17256,13294,109434,1246,639,15654,262698,6488,61741,263944,-3679,101694,52816,4275,600,7127,23903,3029,2429,97737,2018
10,"Bedford, VA*",1168381,96408,141752,121534,2139277,-8838,-11100,157175,3650546,147220,46031,3641708,1128071,722233,780198,79115,10543,136120,202519,31222,20679,829742,2018
11,"Bland, VA",136749,9977,23328,14570,119220,-148,-562,17262,228392,8895,36258,228244,-267,36125,72899,6295,713,8333,30613,2864,2151,97803,2018
12,"Botetourt, VA",685761,51446,83449,72158,1013934,-4208,-5822,87525,1672629,60772,49935,1668421,415698,318177,336310,33412,4329,54950,119528,15913,11584,511283,2018
13,"Brunswick, VA",190272,16701,29444,20766,249652,-400,-2689,27084,515665,8960,31633,515265,86464,79315,186298,16289,1415,6271,39827,5377,3962,144174,2018
14,"Buchanan, VA",455573,36888,65058,47524,342172,-331,-398,60650,742531,30806,34726,742200,-52751,88777,311251,21373,1271,30408,88820,8422,7151,336345,2018
15,"Buckingham, VA",205126,16674,32398,20474,276489,586,-790,26911,500962,20887,29430,501548,98274,72292,152767,17042,1600,20097,42635,5174,3574,142394,2018
16,"Campbell + Lynchburg, VA*",4550305,293419,537636,508436,2718347,-2367,-4861,547637,5039675,188529,36870,5037308,-1284321,884231,1434730,136622,13802,183668,791854,90667,76865,3574783,2018
17,"Caroline, VA",371269,28722,57817,38890,811927,-1548,-3873,48167,1296131,33056,42078,1294583,488825,221795,260861,30766,3192,29183,77262,9638,6446,264824,2018
18,"Carroll + Galax, VA*",606751,48999,83820,64726,639120,366,-2245,81362,1266808,56359,35078,1267174,113731,188434,439620,36124,3789,54114,116183,16587,12798,436454,2018
19,"Charles City, VA",120536,9516,14593,12532,172147,2648,1156,15782,316046,8907,45639,318694,67393,69294,77253,6983,745,10063,20859,2624,1879,89614,2018
20,"Charlotte, VA",163335,14266,24929,16178,202344,-2522,-4698,22355,415275,22229,34668,412753,61364,70582,139827,11906,1662,17531,33018,4847,3185,112786,2018
21,"Chesapeake (Independent City), VA",6564439,414743,793396,726824,7956060,5599,143,778155,11862332,348981,48890,11867931,2169776,1997658,1914213,242748,26547,349124,1156808,136139,109592,5058507,2018
22,"Chesterfield, VA",9865540,630213,1148237,1045190,12586420,887,-231,1152808,18639962,812847,53458,18640849,3873688,3338064,2716365,348704,44725,812616,1670832,193665,148940,7382092,2018
23,"Clarke, VA",292603,20995,30679,28312,578868,1251,-3574,35151,932550,53444,64325,933801,321416,227971,126962,14517,2744,49870,44835,7037,4293,197898,2018
24,"Craig, VA",43483,4618,6503,4038,105139,-1831,-2460,6637,196605,8197,38154,194774,68293,35836,53799,5105,633,5737,8522,1425,792,29224,2018
25,"Culpeper, VA",1111613,74642,132804,109528,1573447,190,-6601,129406,2398624,168966,46323,2398814,591240,414508,410859,51785,6918,162365,187568,23994,17076,761680,2018
26,"Cumberland, VA",87992,8061,11623,7358,210778,6172,4872,11740,356277,16633,36748,362449,134526,50791,100880,9863,1046,21505,15302,2476,1430,51185,2018
27,"Dickenson, VA",198303,18556,32421,20334,195647,-538,-616,28723,459367,9919,31639,458829,26067,55116,208066,14502,701,9303,42588,4294,3593,146412,2018
28,"Dinwiddie, Colonial Heights + Petersburg, VA*",1817614,125850,243804,205498,1586713,-4061,-5454,228599,3000396,63160,39061,2996335,-2302,469916,939706,76710,6725,57706,346553,41545,34820,1413355,2018
29,"Essex, VA",187547,15262,24728,20210,230585,-6879,-7913,25367,456580,20445,41299,449701,68405,94712,124404,10889,1372,12532,34833,5306,3934,140182,2018
30,"Fairfax, Fairfax City + Falls Church, VA*",81092029,4902196,7413010,8574376,67982475,7472,5036,9189384,98412510,5487036,82888,98419982,-3920170,23754704,6682803,1187385,197205,5492072,11700198,929138,731933,63899759,2018
31,"Fauquier, VA",1863056,120716,195175,174472,3245031,918,-13458,207952,4942899,338340,69905,4943817,1589927,1178147,520639,70722,12617,324882,282411,37379,24762,1255763,2018
32,"Floyd, VA",179232,16374,23171,17260,337177,-2663,-6873,25004,608723,35357,38387,606060,182949,111932,156951,15788,2673,28484,31801,6425,3752,118947,2018
33,"Fluvanna, VA",305441,25781,40271,27824,730694,-2106,-2784,39693,1207044,57198,44742,1204938,464946,250894,223350,26931,3294,54414,54183,7922,4628,196844,2018
34,"Franklin, VA",846665,69818,105328,86304,1216939,-2909,-8582,112970,2283588,118481,40512,2280679,483244,494120,569620,56297,6878,109899,148480,23285,16407,588286,2018
35,"Frederick + Winchester, VA*",4078193,254969,490464,423356,3899993,-7328,-12327,466647,5852132,425612,50271,5844804,288447,1042468,902343,116267,14426,413285,702142,76227,61801,2962766,2018
36,"Giles, VA",290116,23333,40597,30412,372267,-1427,-2027,38539,662358,24903,39273,660931,120690,101938,186726,16829,1692,22876,55803,6690,4998,211437,2018
37,"Gloucester, VA",534537,42152,72537,53446,1111096,754,12,68875,1818077,61518,48634,1818831,645434,348301,359434,37398,4033,61530,99260,14392,10359,373747,2018
38,"Goochland, VA",2097285,128532,175537,204732,1312574,-5481,-7431,230898,2331176,111835,99291,2325695,-553813,789069,224052,23423,4717,104404,277903,22082,17365,1714978,2018
39,"Grayson, VA",140191,15800,25897,14620,232627,-13946,-15920,23110,501848,22564,31234,487902,115546,80324,174951,15621,2011,6644,33207,5265,3254,100340,2018
40,"Greene, VA",253470,19645,27058,21408,578865,17,-1110,30349,888279,67621,45048,888296,355744,150417,159014,19719,2461,66511,37762,6458,3997,149197,2018
41,"Greensville + Emporia, VA*",414635,27940,64237,46042,278220,66,-1074,50961,523636,5787,31217,523702,-85454,67462,178020,16776,1224,4713,87258,9527,8303,322664,2018
42,"Halifax, VA",672212,51807,97088,71624,613370,-3737,-7850,87619,1218645,51985,35511,1214908,28777,195903,405635,34212,3423,44135,132900,16104,12681,495177,2018
43,"Hampton (Independent City), VA",4465642,261118,745419,535568,3261397,0,0,528902,5552548,118573,41191,5552548,-675343,978438,1312713,134800,12549,118573,1013203,77373,64824,3333866,2018
44,"Hanover, VA",3560325,227204,370472,365716,4363351,8359,-94,410062,6407660,428164,60063,6416019,1213088,1199140,853528,106821,15919,428070,553330,72748,56829,2578925,2018
45,"Henrico, VA",18049377,1077843,1560747,1645088,15097194,1421,111,1900387,21579359,3869615,65413,21580780,-1051796,3952044,2531542,329917,47378,3869726,2383291,254114,206736,11796360,2018
46,"Henry + Martinsville, VA*",1299290,101086,175693,137290,1189564,8697,7809,169731,2406148,99607,37923,2414845,60005,387675,837606,63677,5039,107416,244338,31682,26643,947536,2018
47,"Highland, VA",30341,2662,4489,2502,31285,4032,3252,3913,88698,3258,42035,92730,4857,34797,26648,2206,674,6510,5740,1245,571,18091,2018
48,"Isle of Wight, VA",735669,53599,83203,74224,1322310,2541,563,90711,2006864,50849,54012,2009405,677352,330658,356437,37203,4339,51412,120315,15767,11428,563942,2018
49,"James City + Williamsburg, VA*",2653497,180154,332430,282294,3105075,-4625,-5354,321301,5768384,217750,63189,5763759,772879,1738329,920355,91215,12221,212396,473577,58991,46770,1967524,2018
50,"King George, VA",1406733,77594,255358,162068,953906,-495,-1026,158628,1410396,62867,52859,1409901,-294199,278382,177613,26673,2577,61841,336392,15608,13031,1008500,2018
51,"King William, VA",269769,20255,31862,28058,518941,-1840,-2571,34284,788060,27354,46352,786220,283456,126188,141091,16962,1934,24783,45891,6291,4357,199095,2018
52,"King and Queen, VA",74476,6873,9567,7082,180220,155,-1022,10414,300189,13334,42705,300344,116158,47962,72162,7033,760,12312,13108,1968,1208,49056,2018
53,"Lancaster, VA",269146,21872,30624,26502,224390,-568,-1028,35123,620735,37380,58003,620167,-9633,240490,155287,10692,1978,36352,43875,6906,4928,188919,2018
54,"Lee, VA",239440,23634,43325,24490,304944,-6014,-7060,35879,692320,27504,28954,686306,101383,89232,292130,23703,2326,20444,55570,7002,4676,163426,2018
55,"Loudoun, VA",16377021,961559,1598666,1638896,25580339,5569,-8680,1781007,32179387,1563510,79280,32184956,10984325,4936767,1667850,405964,63490,1554830,2418114,246582,183092,12404077,2018
56,"Louisa, VA",766841,53885,99109,77866,960119,-684,-2376,92818,1593208,81447,43445,1592524,286096,298802,333603,36656,4611,79071,138042,15034,10423,549728,2018
57,"Lunenburg, VA",140434,12462,22353,14474,188799,-1458,-3778,19699,391809,11215,31847,390351,68064,74164,127388,12257,1229,7437,29590,4102,2873,103407,2018
58,"Madison, VA",187351,15249,22345,18152,356674,-4205,-7516,24325,621143,39681,46745,616938,193648,143641,116623,13198,2536,32165,31421,5871,3335,123765,2018
59,"Mathews, VA",99284,10010,11126,7962,235392,807,750,13991,479325,28783,54772,480132,150099,135924,108816,8766,1377,29533,15107,3087,1710,54644,2018
60,"Mecklenburg, VA",598944,47543,81250,64666,527598,-3443,-9315,79876,1114277,43580,36175,1110834,8530,210363,372873,30707,3072,34265,113583,15494,12422,451096,2018
61,"Middlesex, VA",207974,16994,28310,19164,239284,771,-543,26576,538989,32024,50365,539760,57886,163042,137434,10717,1734,31481,37892,5365,3631,138601,2018
62,"Montgomery + Radford, VA*",3382697,201633,547106,347206,2608027,2335,-1195,375236,4304427,223184,36906,4306762,-399434,976615,722120,116694,11188,221989,720709,64692,53504,2439999,2018
63,"Nelson, VA",245703,20742,30787,22500,357896,1875,-1405,31992,744178,46068,50287,746053,144185,211697,176460,14836,2600,44663,42037,6841,4241,159003,2018
64,"New Kent, VA",294411,23089,34577,27232,1217752,-2700,-2947,36705,1644699,60753,73715,1641999,960046,234261,189986,22275,3393,57806,48193,8138,4745,188412,2018
65,"Newport News (Independent City), VA",8110823,465738,1184661,935202,4454791,0,0,933339,7217889,256042,40345,7217889,-2722693,1215433,1547665,178904,17534,256042,1652262,130190,112656,6202519,2018
66,"Norfolk (Independent City), VA",13644651,744246,2243362,1667380,5299188,0,0,1577936,9342405,110736,38262,9342405,-6767527,2033600,2009617,244168,23922,110736,3077052,201340,177418,10456863,2018
67,"Northampton, VA",246636,16625,28748,21988,333552,46047,32458,27619,577825,26700,52920,623872,114535,129319,161001,11789,1927,59158,39742,6437,4510,147736,2018
68,"Northumberland, VA",182378,17404,22628,18110,246515,635,-362,26459,617910,27719,50817,618545,90596,203769,168261,12172,1780,27357,31683,4530,2750,123338,2018
69,"Nottoway, VA",326672,22739,62356,37176,236513,9006,6551,41327,509682,5396,33723,518688,-48832,96589,185586,15381,1433,11947,80944,7626,6193,233781,2018
70,"Orange, VA",611890,45483,76152,57744,1069756,24178,12431,74355,1774206,85430,49109,1798384,532221,377624,351004,36620,4513,97861,105024,15050,10537,409005,2018
71,"Page, VA",338731,27193,43659,34830,502970,24271,21130,44608,881014,38372,37712,905285,208847,158319,243996,24005,2718,59502,61074,8932,6214,218155,2018
72,"Patrick, VA",235055,20960,33709,23850,282021,1981,-38,32885,579746,26770,32942,581727,79851,94061,205645,17659,2129,26732,45634,7219,5090,162689,2018
73,"Pittsylvania + Danville, VA*",2113256,159516,280205,230718,1945848,7101,-2081,274875,3738236,115868,36858,3745337,107467,544509,1254980,101615,9563,113787,395564,50890,41327,1603905,2018
74,"Portsmouth (Independent City), VA",4103703,229783,792930,485554,2112302,0,0,472560,3664519,100455,38623,3664519,-1518841,588971,963246,94879,8656,100455,1035707,60714,52058,2967541,2018
75,"Powhatan, VA",479551,35350,57118,45966,1116304,43,-821,58333,1671524,76656,57247,1671567,695086,321538,233725,29199,4256,75835,80101,12198,7942,323615,2018
76,"Prince Edward, VA",513574,34572,77122,55694,363893,2301,1204,62419,698709,28493,30640,701010,-87262,122874,214243,22879,2080,29697,104969,12423,10343,378908,2018
77,"Prince George + Hopewell, VA*",2503602,132846,473538,306842,1300521,-3166,-3652,286267,2251369,44515,37053,2248203,-916814,393173,554509,60676,4359,40863,626959,36995,32636,1835780,2018
78,"Prince William, Manassas + Manassas Park, VA*",13144142,781254,1538304,1367624,21352524,-2506,-5603,1465066,28775121,1575692,54733,28772615,9673448,4531209,2888882,525694,73036,1570089,2222116,249351,176315,9351937,2018
79,"Pulaski, VA",824126,58899,112997,91954,749274,751,-867,104876,1347992,49722,39556,1348743,30024,211544,387925,34097,2928,48855,158974,17559,14631,616297,2018
80,"Rappahannock, VA",119790,9917,10646,8734,241323,-3537,-5601,14284,485979,47136,65434,482442,135817,171601,69518,7373,1914,41535,15013,3606,1692,63242,2018
81,"Richmond (Independent City), VA",13995024,825621,1754267,1450870,6987338,0,0,1551056,12132940,941696,52839,12132940,-5456630,3165381,1980221,229621,31511,941696,2479702,200153,168642,10573626,2018
82,"Richmond, VA",183711,12600,30449,18904,177484,2044,-536,22052,330528,10559,37026,332572,15825,71607,83481,8982,1012,10023,39901,4219,3207,133787,2018
83,"Roanoke (Independent City), VA",4643564,288001,560128,532804,2270926,0,0,554403,4173414,271169,42171,4173414,-1818235,829084,1073404,98964,9796,271169,826530,81560,71764,3545865,2018
84,"Roanoke + Salem, VA*",4018407,264382,503618,418750,3756078,-628,-1521,473757,6100929,385926,51078,6100301,211428,1198117,1146106,119432,13582,384405,712993,76226,62644,2921009,2018
85,"Rockbridge, Buena Vista + Lexington, VA*",780128,56489,104334,84276,716723,-2082,-4482,98627,1430835,85559,39023,1428753,35222,368929,343101,36613,4711,81077,146472,19529,14818,552579,2018
86,"Rockingham + Harrisonburg, VA*",4227209,256031,514470,414430,3383481,131493,109138,463246,5199734,461365,39471,5331227,-380482,1001296,946450,135068,16996,570503,721685,86458,69462,2935021,2018
87,"Russell, VA",416033,36228,56454,48362,423319,-1842,-3958,60409,877782,21250,32660,875940,67695,124666,327955,26820,2406,17292,80635,9888,7482,318106,2018
