,FIPS_County,Number_in_Poverty,Percent_in_Poverty,Median_Income,County_Name,population,year,Firms,Establishments,Employment,Payroll_$1000,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries
129,49,1782,17.9,40080,cumberland county,9955,2011,142,146,868,23250,73266,4973,8765,6124,167604,9423,8505,8035,277511,12241,28731,286934,102373,40625,78705,9987,765,20746,11827,2191,1426,40693
130,51,3357,21.8,33494,dickenson county,15399,2011,203,223,2781,127884,222703,14958,27152,23074,224001,-1656,-1711,26495,453888,18489,28662,452232,27793,50475,177756,15778,784,16778,38689,4960,4176,167236
131,53,3625,13.3,50152,dinwiddie county,27256,2011,344,364,4213,170689,1563767,80665,203750,176636,1490060,7529,6465,168983,2762523,81600,35745,2770052,95276,432946,847046,77495,7270,88065,292068,40780,33510,1183634
132,57,1646,14.9,42550,essex county,11047,2011,288,301,3308,90312,179830,10120,20686,18588,216072,4757,4033,19414,379487,21147,34406,384244,55656,70025,98147,11168,1286,25180,29980,5332,4046,124670
133,59,73792,6.8,105409,fairfax county,1085176,2011,23706,28871,569388,40130401,66170787,2894463,5612252,6968558,58373508,3522,1878,6378742,80061140,5284726,70311,80064662,-1418537,16750601,4940553,1138729,164309,5286604,9096531,838615,674306,51787652
134,61,4148,6.3,85096,fauquier county,65841,2011,1685,1766,15891,638599,1501670,73562,140913,144620,2602793,-4345,-14701,145872,3918363,313415,59275,3914018,1246995,955067,356158,66032,10419,298714,213223,33041,22622,989733
135,63,2056,13.5,39997,floyd county,15230,2011,298,302,1973,47664,146776,9958,16534,13286,281220,3736,309,16601,474031,36031,31016,477767,151045,77934,118613,15404,2500,36340,23177,5673,3173,87259
136,65,1876,7.6,62086,fluvanna county,24684,2011,364,370,2381,70101,252357,15811,31775,24140,587642,-481,-983,27881,939645,47685,36179,939164,363166,190683,160839,25959,2856,46702,43845,7499,4643,161810
137,67,7171,13.1,49003,franklin county,54740,2011,1055,1121,10865,319946,681378,42181,72615,67582,1080009,18717,14664,75972,1849281,128300,33156,1867998,474603,336672,451317,56339,6985,142964,106406,21093,14108,432008
138,69,7026,8.9,64501,frederick county,78944,2011,1278,1399,20843,774304,2977775,140113,332165,328590,2963385,1825,-1966,304408,4317430,290474,40678,4319255,290018,728709,627161,106182,12957,288508,496460,65812,52855,2192807
139,71,2136,12.6,43139,giles county,16952,2011,267,290,3622,132930,282378,16526,37350,30604,321702,-930,-1324,31828,559417,27930,32561,558487,71152,81091,155694,17152,1795,26606,52652,7128,5333,203120
140,73,3721,10.2,58282,gloucester county,36480,2011,815,880,7128,186102,452478,26158,54949,44718,982175,2823,2311,48517,1548875,66421,42055,1551698,578214,311052,258471,36897,3720,68732,77308,13740,10020,306438
141,75,1661,8.1,76804,goochland county,20506,2011,554,594,11469,789007,1093080,50538,95667,109668,1022711,1021,-533,105372,1645435,65002,76448,1646456,35003,452458,171287,21537,3505,64469,150501,15760,12255,878110
142,77,2817,18.6,31286,grayson county,15145,2011,166,174,1183,30399,113363,9921,15199,11012,205555,1752,286,15427,419478,20776,27410,421230,107619,62924,152751,15368,2020,21062,20705,4645,2625,71596
143,79,1693,9.2,60710,greene county,18402,2011,307,314,2541,79531,205998,11902,20423,19970,443095,1351,610,21887,662049,40849,35487,663400,258984,109794,110511,18694,1959,41459,30408,5812,3853,134131
144,81,2114,24.7,37861,greensville county,8559,2011,102,107,2291,70802,357427,17849,50867,40912,259220,9555,8769,38305,461912,8450,26425,471467,-59902,63119,149128,17842,1059,17219,71323,9772,8713,268885
145,83,6795,19.3,35170,halifax county,35207,2011,694,746,10547,324249,585278,33921,81247,63724,547287,7974,5013,65783,1041797,45890,29163,1049771,27792,166241,336243,35997,3428,50903,113109,16340,12912,421266
146,85,6001,6.1,71714,hanover county,98377,2011,2771,2994,39163,1393869,2523717,121871,258468,279326,3311534,10528,4461,261534,4706028,247558,47213,4716556,1049351,816972,588050,99899,13159,252019,398131,61402,48243,1873567
147,87,33123,10.8,58110,henrico county,306694,2011,6985,8608,158151,7721792,13022458,595448,1153647,1330582,10929359,1923,942,1260739,15469902,1888960,49845,15471825,-832360,2687114,1855352,310401,40134,1889902,1818938,223999,183865,9313618
148,89,10908,20.5,32596,henry county,53210,2011,767,836,11473,315642,1117840,67735,140519,128066,1027253,7101,6424,131768,2093725,91896,31285,2100826,41181,366548,707025,67152,5939,98320,204552,31797,25858,814968
149,91,312,13.8,37286,highland county,2261,2011,82,83,365,7976,29374,1821,3376,2248,32400,5068,4526,2945,76695,5066,36178,81763,5971,27933,21430,2260,677,9592,4500,1266,589,15282
150,93,3914,11.2,60922,isle of wight county,34946,2011,604,640,7844,276877,571039,30861,58554,54638,1147764,12495,10974,58180,1646119,65233,46985,1658614,634905,249776,261074,35301,3578,76207,85873,13753,10175,408959
151,95,4991,7.4,73575,james city county,67446,2011,1486,1626,22857,761490,2159849,108542,243010,225234,2695456,-12,-488,221159,4493822,296861,54514,4493810,756766,1162626,635728,82434,10740,296373,355627,53506,42766,1507849
152,97,919,13.2,45087,king and queen county,6962,2011,97,99,1009,46775,1089031,44567,171586,125684,774783,-2185,-2573,107409,1113454,69119,45775,1111269,-206839,215432,121054,24277,2309,66546,234428,13646,11337,788057
153,99,1645,6.9,75935,king george county,23841,2011,385,439,5943,333836,203828,11311,22243,21100,408777,4166,3319,21861,592566,23157,37265,596732,226810,85673,102282,16013,1731,26476,32793,5361,3630,144559
154,101,1387,8.7,57779,king william county,15943,2011,307,317,2750,109370,76681,4609,8818,7152,150389,4797,4021,8185,237807,15352,34727,242604,81893,36523,55692,6986,737,19373,12394,1897,1160,44914
155,103,1741,15.7,43470,lancaster county,11089,2011,471,500,4145,132211,238815,14608,25589,24126,199633,1487,1181,26671,511660,36599,45508,513147,-12511,186008,127506,11276,2002,37780,37652,7029,5027,163383
156,105,6454,27.6,30341,lee county,23384,2011,255,279,3383,92056,275134,18568,40887,29024,347628,-1608,-2351,33080,686210,28771,26799,684602,105574,82411,254563,25546,2240,26420,55399,8028,5788,193315
157,107,12996,4.0,119525,loudoun county,324900,2011,7230,8191,122154,6827627,11263164,492742,1055773,1197048,17862928,-6147,-16076,1091266,21832892,1033533,66880,21826745,7691030,2978581,985236,326357,43157,1017457,1654297,190953,147796,8591410
158,109,3597,10.8,53267,louisa county,33306,2011,511,535,6663,291798,592210,30705,79446,58906,758318,41,-1150,60158,1181176,63986,35445,1181217,226266,193020,229879,33325,3702,62836,108899,12543,8841,420475
159,111,2636,22.6,34488,lunenburg county,11664,2011,175,178,1514,41056,124840,8146,16686,13268,168443,4688,3156,14780,340021,11913,26707,344709,58383,67619,108647,12907,969,15069,23320,3772,2803,86451
160,113,1549,11.9,52116,madison county,13017,2011,260,264,2566,74032,163249,9885,17043,15392,293813,1389,-954,17581,485684,39753,37062,487073,148145,104809,88451,13142,2051,38799,24739,5279,3228,99711
161,115,888,10.0,54113,mathews county,8880,2011,177,177,964,21523,88199,6754,8215,6862,210402,389,284,10185,423503,29989,47394,423892,132388,130713,82777,8944,1355,30273,11646,2969,1614,46280
162,117,5870,19.0,36372,mecklenburg county,30895,2011,732,802,9674,270047,542562,31800,71933,61314,481719,4145,35,62457,963989,38973,29727,968134,1614,178047,308368,32567,3073,39008,102590,16065,12992,400964
163,119,1343,12.8,46171,middlesex county,10492,2011,323,338,2139,56987,181090,11242,20590,15700,212637,2187,1266,19092,436114,42261,40378,438301,50639,117563,108101,10855,1755,43527,28440,5265,3510,109123
164,121,19169,22.5,44066,montgomery county,85196,2011,1740,1948,26204,838877,2499064,114000,377298,275018,1948941,4044,1492,251509,3208500,106784,28792,3212544,-298614,685115,578488,111578,10480,108276,514807,60038,49558,1875981
165,125,2036,13.6,46055,nelson county,14971,2011,386,391,2997,70359,191235,12270,20418,17080,320957,2446,44,20810,581298,49379,38867,583744,150532,126887,135900,15019,2676,49423,28958,6374,3698,112854
166,127,1257,6.9,69885,new kent county,18217,2011,329,336,2491,75825,204536,11774,23108,20308,839161,1407,1220,21928,1083898,37216,57843,1085305,656553,132651,113493,18763,2607,38436,33262,6592,3985,132838
167,131,2744,22.7,35594,northampton county,12088,2011,298,319,3038,91181,257552,12722,26580,24698,229582,42118,31886,25071,415626,25828,36897,457744,-2899,99938,128224,12406,1706,57714,38929,6686,4980,160909
168,133,1719,13.8,45908,northumberland county,12457,2011,346,359,1813,57030,137725,10713,14992,13380,187813,3800,3103,17403,484417,23134,39208,488217,67491,168255,132149,12452,1684,26237,21682,4406,2722,89806
169,135,3085,22.1,36712,nottoway county,13959,2011,292,310,3583,94394,282357,15203,46818,33832,224882,4809,3121,32119,461739,10534,29359,466548,-25356,84559,157107,15891,1506,13655,63734,7621,6115,204968
170,137,3950,11.9,56967,orange county,33193,2011,624,662,5443,182573,447923,26695,51025,43858,799457,9705,1355,48624,1325854,76947,39302,1335559,400158,275546,260556,33982,4265,78302,72954,13100,8835,296667
171,139,4055,17.1,40118,page county,23713,2011,372,402,4092,108084,295645,17689,34545,30394,434872,23125,20963,32886,742041,45248,31940,765166,172113,132875,197419,23956,2676,66211,49742,8867,6191,179692
172,141,3260,18.0,34486,patrick county,18111,2011,293,304,3661,93821,214899,14434,28137,22618,251731,2613,1027,25743,501452,31370,27486,504065,62575,81830,170504,18339,2269,32397,39446,7601,5332,143056
173,143,9113,14.7,40664,pittsylvania county,61993,2011,801,843,8192,230690,1789949,102341,224717,206386,1662849,20326,13873,205534,3128730,106928,29729,3149056,78434,477419,1008788,105926,9569,120801,327910,50292,40723,1341238
174,145,1894,7.4,71507,powhatan county,25595,2011,619,628,3859,122331,368278,19972,45193,36208,814984,923,311,38076,1163510,55703,41383,1164433,484782,192898,156551,28138,3321,56014,63297,10212,6891,248967
175,147,4748,25.0,36503,prince edward county,18992,2011,488,536,6906,187499,406852,21022,54765,45396,306897,2991,2208,43720,571824,30927,25744,574815,-56235,99935,167983,22328,2205,33135,77463,11803,9598,296254
176,149,3404,10.7,56374,prince george county,31813,2011,408,440,6486,230745,2221648,84314,417687,279728,1157667,1034,717,224178,1946018,48975,32871,1947052,-839803,369602,419783,59234,3423,49692,557551,33901,30478,1614405
177,153,28639,6.9,93101,prince william county,415058,2011,6020,7037,86289,3318449,9886478,434594,1128219,1082030,17691964,-30,-2305,975609,23015506,1129268,48625,23015476,8781095,3398109,1925403,473323,51094,1126963,1669234,201788,150694,7090281
178,155,5533,16.5,39054,pulaski county,33533,2011,563,625,9402,354359,638299,35562,79236,73176,638598,3115,1971,72150,1118109,57248,32274,1121224,72449,167973,314653,34741,2641,59219,115824,15581,12940,463256
179,157,742,10.0,59277,rappahannock county,7420,2011,182,182,961,29374,119937,7161,9417,8502,220010,-1519,-2943,11412,390247,44299,51983,388728,111485,115925,52793,7478,1667,41356,13668,3287,1620,64913
180,159,1510,20.4,39624,richmond county,7402,2011,176,188,2084,52046,146202,7791,21125,15132,138654,4337,2620,15357,252772,10530,27934,257109,7809,50721,67734,9204,915,13150,28691,3979,3064,104361
181,161,7274,8.0,60382,roanoke county,90925,2011,1842,2061,29965,1098614,3713873,180643,427946,402884,3281835,223,-382,382085,5043841,382397,42793,5044064,-49953,897022,865207,117871,13174,382015,629388,76410,63236,2702470
182,163,2855,12.9,42567,rockbridge county,22132,2011,403,428,4337,113245,664022,36752,78745,74894,624721,-542,-2224,74199,1184100,83721,32748,1183558,34898,276584,282253,36141,4621,81497,116192,18803,14182,466333
183,165,7227,9.6,51826,rockingham county,75281,2011,1284,1382,22532,817872,3270959,148991,379402,337166,2585398,131382,116220,317574,3908437,310656,31855,4039819,-367987,737025,717396,126818,15628,426876,547985,78824,63196,2296098
184,167,6704,23.5,30562,russell county,28528,2011,429,476,5540,168413,379025,24950,47377,42746,468176,-1180,-2595,46323,857904,41490,29871,856724,135474,100790,287758,28681,2539,38895,68750,10122,7583,271380
185,169,4193,18.7,35342,scott county,22422,2011,261,299,3365,110534,227226,17342,29899,25020,336856,-3607,-4168,29852,664302,24160,28660,660695,139482,96502,227337,23053,2782,19992,42409,8082,5300,164825
186,171,5620,13.4,47669,shenandoah county,41940,2011,828,889,11322,330138,674038,37413,77813,68026,877241,19729,16826,71426,1462751,95144,35075,1482480,274629,293074,312165,42266,5779,111970,111826,19994,14215,450242
187,173,6085,19.4,34916,smyth county,31366,2011,498,536,8997,279822,577014,32981,78619,63818,514296,4058,2589,64890,947668,54293,29691,951726,2172,131797,305633,32054,3319,56882,110528,15631,12312,409604
188,175,2696,16.0,43374,southampton county,16850,2011,214,227,1932,53454,393927,21164,52785,39444,477567,24301,20997,40886,843686,30888,32046,867987,124526,153147,237273,27086,2529,51885,72507,10962,8433,269535
189,177,9356,7.6,75627,spotsylvania county,123105,2011,2044,2256,26692,901427,2972236,141913,324835,330386,4527283,387,-845,307106,6519609,228939,43375,6519996,1862153,1152784,839929,150316,14433,228094,490028,73457,59024,2254114
190,179,8070,6.3,90748,stafford county,128095,2011,1862,2054,28221,1106676,2847109,123203,381445,317458,4746637,-2869,-3228,281932,6432827,241485,48619,6429958,2181460,1074467,608854,132251,12211,238257,540174,54515,42304,2068678
191,181,884,12.8,46486,surry county,6906,2011,73,78,0,0,243835,10697,41471,25088,149598,5184,4421,23241,233201,5364,34434,238385,-70996,35316,53471,6923,544,9785,54015,3047,2503,180035
192,183,1966,20.7,37329,sussex county,9498,2011,161,181,1982,57374,188183,9635,26566,19534,182658,11154,9904,19402,310801,7995,26634,321955,13877,44704,94593,12088,842,17899,36333,4709,3867,133951
193,185,7580,17.6,36521,tazewell county,43068,2011,969,1107,13452,427462,814565,47097,102781,88368,799985,802,10,91281,1466417,72104,32799,1467219,76701,218541,448693,44733,3820,72114,146965,21520,17700,595486
194,187,3858,10.4,56450,warren county,37096,2011,759,792,9418,282500,609945,31877,70147,65310,1002942,-1978,-2621,64532,1527094,79432,40503,1525116,457529,284037,238137,37654,4303,76811,102802,16709,12406,430332
195,191,6831,12.8,40513,washington county,53367,2011,1064,1174,16814,579648,1791779,94677,200466,178952,1521216,2432,-276,184153,2687909,293791,37075,2690341,-86410,516921,652204,72565,8473,293515,289942,42037,33564,1208322
196,193,3020,17.3,43175,westmoreland county,17457,2011,311,329,2738,65671,170549,11549,20397,16700,320056,9632,5372,19899,611489,25099,35213,621121,169406,150503,150562,17639,2046,30471,28747,5982,3936,111331
197,195,8782,22.8,36286,wise county,38518,2011,675,815,11355,468960,1109799,58647,135829,128758,768909,1035,949,123026,1419634,49148,31191,1420669,-217864,165695,486065,45548,2944,50097,200208,24192,21248,859494
198,197,4148,14.3,39879,wythe county,29007,2011,629,685,8898,268757,521939,29269,70964,57736,472099,3012,822,58137,849333,45995,29186,852345,8297,124023,256223,29204,3382,46817,99832,15596,12214,375290
199,199,3566,5.4,80178,york county,66037,2011,1291,1425,16986,499016,1304530,64124,166428,146342,2623489,833,179,137295,3904856,133058,50177,3905689,1456254,831929,450271,77839,6632,133237,239599,32731,26099,931694
200,510,11522,8.1,82070,alexandria city,142247,2011,4042,4525,80378,4567220,9734373,412601,968463,1032978,8404833,0,0,929090,11272972,1327448,78139,11272972,-400450,2211781,656358,144269,20323,1327448,1484952,120806,100483,6921973
201,550,20551,9.3,65699,chesapeake city,220978,2011,4487,5272,84312,3089848,5328484,249261,596790,596850,6801187,7766,3671,547686,9774458,409945,43407,9782224,2020389,1623524,1357513,225360,20778,413616,895215,122009,101231,4019653
202,650,20153,15.3,48656,hampton city,131719,2011,1978,2373,41368,1489027,4203178,178264,670845,515450,3056879,0,0,435989,5004658,154635,36623,5004658,-710310,899616,1048163,136652,9710,154635,928570,76136,66426,3119973
203,700,26712,15.5,47969,newport news city,172335,2011,3103,3702,85658,3676864,6729514,284697,963168,760158,4206635,0,0,664776,6567503,398988,36458,6567503,-1858103,1093520,1267348,180139,13840,398988,1343247,119929,106089,4987279
204,710,42703,20.3,42201,norfolk city,210360,2011,4276,5558,109275,4536060,13211127,490282,2204381,1696576,4846825,0,0,1338570,8428774,355861,34587,8428774,-7025732,1860557,1721392,243701,19712,355861,3052669,210323,190611,9802597
205,740,16640,18.0,41910,portsmouth city,92444,2011,1543,1735,27602,966152,3504498,144396,631821,425890,2002124,0,0,357341,3420267,109047,35714,3420267,-1145033,577345,840798,95767,6971,109047,844766,58015,51044,2550685
206,760,51117,26.4,38368,richmond city,193625,2011,5161,5981,109283,5806402,11662573,509990,1322167,1204684,5411232,0,0,1112332,9303034,1126620,45054,9303034,-5139009,2192227,1699575,206487,21430,1126620,1924509,181036,159606,8611444
207,770,18565,19.5,38482,roanoke city,95205,2011,2677,3133,63068,2533838,3969888,186646,448760,472350,2027730,0,0,422821,3555924,312037,36738,3555924,-1519337,631963,896231,96791,8969,312037,684935,79751,70782,2972916
208,800,10214,12.2,61335,suffolk city,83721,2011,1284,1450,20009,724610,1565506,77432,184426,167948,2467011,15401,6748,161406,3691253,166656,43706,3706654,1062911,629248,610395,84808,8510,173404,268400,35183,26673,1123702
